objective,excited to see The Expendables tonite... but moreso to laugh at Sylvester Stallone's and AHHH-nold's dialogue than the action... LMAO!
objective,I had 2 choices, The Expendables or Eat Pray Love.  I chose the latter. I handed over $10 and my man card, but it was worth it.
objective,At the theater seeing expendables again. lol So awesome!!
objective,first movie is   #ihopethismovieisgood
objective,excited to see The Expendables tonite... but moreso to laugh at Sylvester Stallone's and AHHH-nold's dialogue than the action... LMAO!
objective,I had 2 choices, The Expendables or Eat Pray Love.  I chose the latter. I handed over $10 and my man card, but it was worth it.
objective,At the theater seeing expendables again. lol So awesome!!
objective,first movie is   #ihopethismovieisgood
objective,Going to  , hope it's as good as book!
objective,Going to see "Eat, Pray, Love" with Brianna. Hope the movie does the book justice!
objective,I want to see eat, pray, love but no one wants to see it
objective,getting ready then seeing eat, pray, love with allll the best friends
objective,with the coworkers...hope this is good!
objective,In theartre waiting for   to start!!
objective,Watching Eat, Pray, Love with my mom n sisters
objective,Going to see   tonight! Hope its as good as the book!
objective,Going to see  ...I hope it's funny cause I could use a good laugh!
objective,We have just finished seeing the other guys film
objective,Any Gold Coasters lucky enough to be going to the premiere of ' ' at Event Cinemas tonight?
objective,Yo we're going to see ' ' at 1005 tonight in North Haven
objective,going to see "the other guys" with @teralev and meaghan mayo tonight. :) fun timesss
objective,i'm did not mind how old i am, i WILL seeing  
objective,want to See the other guys
objective,going to see  ...bbl later
objective,At The Movies, Gonna Watch "The Other GUYS" (; I Hope This Is Good.
objective,Time to go. Wife and I are having a kids free movie night. I even got to pick the flick, the Other Guys
objective,Going to a sushi place tonight, but I won't be eating sushi Lol. Then movie after,  . Last night in NY
objective,Watching " " tonight & some Thai food, baby! YEAHHH
objective,I dont have a desire to see "The other guys"
objective,Just saw the other guys and got a haircut
objective,Just finished watching  
objective,Gonna go see   in a lil bit.. Hope its good
objective,night off and tired of smelling cookies baking. off to the bookstore and to see the other guys.
objective,last day of summer spent on summer reading
objective,Hahaha Frankii that sound hilarrrrious. I really wanna see the other guys!
