subjective,At the theater seeing expendables again. lol So awesome
subjective,reminded me of the direct-to-video movies I used to find in the video store. Slim story, okay acting, lots of action
subjective,Saw the Expendables, gotta say: I loved Rambo, but this disappointed me. too many WTF dialogue & weird pacing, but damn good action though
subjective,Two big thumbs up for The Expendables! Pleasantly surprised! Lots of stuff blowing up & plenty of mayhem/violence
subjective,I loved the movie. Ladies go watch  , I feel like a new person
subjective,The movie   was great. Thought Susan Sarandon might play me in the movie someday, but now ok w/Julia Roberts instead.
subjective,Eat,pray, love was really cute. It was somewhat predictable but it kinda makes you wonder what your purpose in life is...I liked it!
subjective,is just another great Will Ferrall movie.. "I hope you like prison food...and penis"
subjective,might have been the dumbest movie I've seen in quite a while, no joke
subjective,just got back from seeing 'the other guys.' i am seriously in loveee with will ferrell
subjective,Just watched  , and damn if it didn't make me home sick
subjective,we saw   the other day...decent buddy cop movie with social commentary we didn't expect...some unexpected cameos as well
subjective,The other guys was funny as hell
subjective,Not too impressive, has it's funny moments. A renter at most
subjective,just watch the Other Guys. That movie is awesome, have to say best one so far.
subjective,Watching The Other guys.HILARIOUS. "Because you shot derek jeter!!!! He's a biracial angel
subjective,The other guys definitely exceeded my expectations
subjective,watched the Other Guys on the weekend. it was actually a really funny movie
subjective,Will Ferrell in the "Other Guys" had me dieing lol
subjective,I saw  ..it was funny.
subjective,was too funny!
subjective,I felt that other guys was good, i wouldn't see it again in the theaters. It had its moments
subjective,Just  . Wish it wouldst been more accurate. But still fucking awesome
subjective,was awesome.  The best movie adaptation of a comic that I've seen.
subjective,I am in love with   vs the World!  I made my little geek heart burst out of my chest!  My favorite movie of 2010
subjective,See   people. Pay for it. SO worth it. Don't wait to steal it online and don't be a Cera hater
subjective,is the ultimate #nerdmovie  I'm #winning: yea @Tbe2Trife thinks its the best movie ever: Yess!!!
subjective,was fantastic! I think I may go see it again next week
subjective,Do yourself a favor: see SCOTT PILGRIM in a theater. You're going to regret "discovering" it on DVD
subjective,Okay guys, let's all buy   on DVD/BD so they can make their money back. And when we're 60, we'll remember the meaning of epic
subjective,loved scott pilgrim, very very much, america is very dumb for not seeing it
subjective,I just thought the trailer looked kinda lame. But I was very surprised by how much I liked  .
subjective,vs the world is an amazing nerdgasm. Go watch it!
subjective,About to see  , again. @edgarwright, I haven't been this excited for a 2nd viewing in a LONG time!
subjective,rocked MY world
subjective,was actually kinda great!
subjective,best movie ever
subjective,despicable me: fantasic cartoon animation..usual plot bt treat to njoy...dialogues n charctrisation nice..
subjective,went to the movies for the first time in what feels like forever. to say despicable me was excellent would be an understatement
subjective,was a simple plot though... It wasn't much of an intensive adventure. ._. too many kids were there an I felt old. XD
subjective,Just watched DESPICABLE ME with my munchkin! What an adorable little movie. =) lovedddd it <3
subjective,it was all ur couzinz idea d: - despicable me!!! lol  i love dat part n i love dat movie!! :)))
subjective,Awwwwh "despicable me" was like the CUTEST movie eveerr. :D
subjective,Despicable me AGAIN. This movie is amazing, and yes, I'll tweet the "jump and I'll catch you" thing again. I'm THAT predictable.
subjective,I don't know what to think about  . There's a hint of disappointment, though.
subjective,enjoyed " ," aka "The Blair Witch Ripoff." But the question again is, who processed the footage?
subjective,Just got done watching  . . . That movie literally made my stomach and head start hurting :/ . . . I have been affected.
subjective,The last exorcism sucks! Dont waste your money on it.
subjective,was just as good - and, crucially, just as scary - second time around. Hope it opens big
subjective,Oh, and for those who asked, THE LAST EXORCISM FUCKING SUUUUCKED
subjective,Sooo basically, i wanna go see   again. Just cuz i loved it! :D
subjective,If u havent seen  ..GO CHECK IT OUT..that movie is the truth
subjective,is a really good film :)
subjective,hmm...the expendables is a great movie (so far)
subjective,Watched  . Was kinda weak! Good thing I saw it for free thanks Intratubes ;)
subjective,was hot! Stallion makes another masterpiece!
subjective,Expendables...the best movie ever...!!!!!!! I AM GONNA WATCH IT AGAIN...!!!!
subjective,Scratch that earlier comment.   sucks too. Two action films that are beyond dull.
subjective,- not my kind of movie but it was fun nonetheless. I am too soft for all the blood and bone-crunching! lol
subjective,the expendables was surprisingly entertaining
subjective,is literally the best movie Ive seen since Shawshank Redemption. That being said, I saw Shawshank Redemption last week on tv
subjective,Just watched  . Holy crap, what a brutal movie! :D
subjective,is actually totally vibing. Pure action all the way.
subjective,I just finished watching the Expendables, best action movie in at least 5 years! Very well done.
subjective,was god damn quality!
subjective,In my opinion, it was just an action film. Not more than that or less than that
subjective,I saw the complete abomination of a movie known as " " the other night. Lundgren was in it. Uber-craptastic.
subjective,is the Grumpy Old Men of action films.
subjective,Just finished Eat Love Pray. I liked it, mostly. But I can't accept idea everything is as it should be, maybe b/c I don't like how it is.
subjective,Eat pray love was so good! Julia Roberts is so talented! :) xx
subjective,the movie was a lot better than the book.  I wanna go to Italy & Bali! #eatpraylove
subjective,So I watched Eat. Pray. Love yesterday. My advice? Wait till it premieres on Lifetime .... Soooo not worth it :/
subjective,I saw  . I liked the book, but this movie... it's really, really, really bad. Like, way worse than you think kind of bad.
subjective,eat pray love. greatness.
subjective,Saw "Eat, Pray, Love". Disliked it very much.  Yawn. Great soundtrack however, may have to buy it.
subjective,Snuck away this afternoon to see  .  Better than I thought considering the reviews were so bad.  Did you see it?
subjective,Detest Eat Pray love movie, the book was at least fun! 
subjective,Well   was great and it further enforced how I feel about finding your true inner self. It's a tough journey, but it's a must.
subjective,The creepy " " was surprisingly good.  It's kind of pro-faith message seems to have upset some liberal critics.  Poor dears.
subjective,I saw the Last Exorcism. I liked most of the movie. But the ending was SO HORRIBLE.
subjective,The movie   is good with a surprise ending. I find the movie is not scary ... maybe because it was 1:30 pm
subjective,The last Exorcism is like the most terrifying movie so far.
subjective,was not worth watching. I might have to watch Paranormal Activity now just to feel better about going to see it.
subjective,Last exorcism is a must see tho
subjective,Just got done watching the last exorcism with @nini_fm it was fuckin epic!
subjective,The last exorcism... oh my god.
subjective,that movie the last exorcism looks scary as fuck!!!
subjective,the last exorcism looks creepy as hell
subjective,Man,   really kind of sucked. I expected better than that.
subjective,The Expendables was 100% ridiculous
subjective,The expendables is a funny waste of money. Lol
subjective,The Expendables is alright but don't all rush out at once. Wait for the DVD. Or torrent. Whichever your morals will allow.
subjective,I don't want this to come off as snooty or anything, but The Expendables  film just *did not* capture the spirit and struggle of the novel.
subjective,Just home from the expendables. I really really enjoyed it - I didn't like how Jet Li was the butt of a lot of the jokes though.
subjective,The Expendables: what a not so great, disjointed storylined movie. Mark: 3/10
subjective,The Expendables has to be one of the greatest movies i have seen in along time !!!!!!!!!!
subjective,worth to watch..
subjective,Just watched the expendables  was brilliant!
subjective,The Expendables is a below average movie 6/10 big #FAIL #CRAP
subjective, is the best film I've seen this week. An action film without blurry camerawork for the fights with but one  gimmick the casting
subjective,Just seen 'The Expendables', Not Bad - means - rather good!
subjective,THE EXPENDABLES is downright bad. I liked it anyway, the way you like a mangy flea-bitten cur. Because it's got personality.
subjective,The Expendables is rather a good film! A lot of fire, guns, explosions and general awesome action lol!
subjective,The Expendables: It makes good on the old-school action it promises, but given all the talent on display, The Expendables should h...
subjective,DONT go see 'the expendables' its 2 hours of your life you will wish you hadn't wasted!!
subjective,By every reasonable critical criteria, THE EXPENDABLES is a terrible movie. And I STILL enjoyed the hell out of it.
subjective,The Expendables was awesome .. What a cast to have in it
subjective,So, I went to see the Expendables earlier today. Pretty damn good :)
subjective,Saw The Expendables tonight with the bf-good action, clumsy/no plot, Stallone is annoying, Jason Statham remains awesome
subjective,The" expendables" was a pretty dope movie ......
subjective,The Expendables - disappointment of the year. Boring and tedious, bad script, awful plot, unspectacular action, horrible CGI, dull acting.
subjective,The expendables is AMAZING!!!!!!!!!!!!!
subjective,Expendables is flippin' sweet! Jason Statham is suprisingly by far the coolest though
subjective,Expendables was off the chain. Big violence, big explosions and typical  "my gun is bigger than yours" action. Nothin more Nuttin less!
subjective,Watched The Expendables. It was good, but for some reason I expected more.
subjective,Oh My God!! The Expendables is the second best film i've seen this year! Full of action film actor royalty!!
subjective,Scott Pilgrim was as epic as epic gets. Now time for the fun of The Expendables.
subjective,vampires suck is the shittest film ever come across actually no so was epic movie... okay one of the crappest movies come across.
subjective,i saw vampires suck last night.... so funny LOL
subjective,  sucks. But it will probably offend Twilight-fangirls and I'm totally OK with that
subjective,Vampires suck is not as fun as i thought..
subjective,omg vampires suck was soo funny
subjective,Watched  .It Rocks.Lmao.shows the absurdity of all that vampire crap
subjective,watching vampires suck.. its so funny
subjective,watching   xD funny movie but i guess i would be funnier if i know the twilight movies xD *
subjective,watched "vampires suck" very entertaining!
subjective,  .. Great movie, beats the Twilight-series anytime.
subjective,that vampires suck was a terrible
subjective, ... SUCKS !
subjective,vampires suck, sucked baaaaaaad
subjective,vampires suck is epic
subjective,  really sucks.
subjective,Vampires suck is not that bad as they say
